E_A#1 / keV;N_A#1;E_A#2 / keV;N_A#2;E_A#3 / keV;N_A#3;E_A#4 / keV;N_A#4;E_A#5 / keV;N_A#5;E_A#6 / keV;N_A#6;E_A#7 / keV;N_A#7;E_A#8 / keV;N_A#8;E_A#9 / keV;N_A#9;E_A#10 / keV;N_A#10;E_A#11 / keV;N_A#11;E_A#12 / keV;N_A#12
0,4;32;0,4;1;0,4;24;0,4;50;0,4;51;0,4;49;0,4;23;0,4;16;0,4;4;0,4;31;0,4;4;0,4;24
0,5;19;0,5;9;0,5;16;0,5;28;0,5;35;0,5;28;0,5;12;0,5;7;0,5;1;0,5;24;0,5;3;0,5;21
0,5;6;0,5;3;0,5;9;0,5;6;0,5;8;0,5;10;0,5;6;0,5;2;0,5;1;0,5;6;0,5;0;0,5;6
0,6;1;0,6;0;0,6;3;0,6;1;0,6;0;0,6;0;0,6;1;0,6;0;0,6;0;0,6;0;0,6;0;0,6;0
0,7;0;0,7;0;0,7;0;0,7;0;0,7;0;0,7;0;0,7;0;0,7;0;0,7;0;0,7;0;0,7;0;0,7;0
0,8;0;0,8;0;0,8;0;0,8;0;0,8;0;0,8;0;0,8;0;0,8;0;0,8;0;0,8;0;0,8;0;0,8;0
0,9;0;0,9;0;0,9;0;0,9;0;0,9;0;0,9;0;0,9;0;0,9;0;0,9;0;0,9;0;0,9;0;0,9;0
1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0
1,1;0;1,1;0;1,1;0;1,1;0;1,1;0;1,1;0;1,1;0;1,1;0;1,1;0;1,1;0;1,1;0;1,1;0
1,1;0;1,1;0;1,1;0;1,1;0;1,1;0;1,1;0;1,1;0;1,1;0;1,1;0;1,1;0;1,1;0;1,1;0
1,2;0;1,2;0;1,2;0;1,2;0;1,2;0;1,2;0;1,2;0;1,2;0;1,2;0;1,2;0;1,2;0;1,2;0
1,3;0;1,3;0;1,3;0;1,3;0;1,3;0;1,3;0;1,3;0;1,3;0;1,3;0;1,3;0;1,3;0;1,3;0
1,4;0;1,4;0;1,4;0;1,4;0;1,4;0;1,4;0;1,4;0;1,4;0;1,4;0;1,4;0;1,4;0;1,4;0
1,5;0;1,5;0;1,5;0;1,5;0;1,5;0;1,5;0;1,5;0;1,5;0;1,5;0;1,5;0;1,5;0;1,5;1
1,6;0;1,6;0;1,6;0;1,6;2;1,6;0;1,6;0;1,6;0;1,6;0;1,6;0;1,6;0;1,6;0;1,6;1
1,7;0;1,7;0;1,7;0;1,7;0;1,7;0;1,7;2;1,7;0;1,7;0;1,7;0;1,7;0;1,7;0;1,7;0
1,7;0;1,7;0;1,7;0;1,7;0;1,7;1;1,7;0;1,7;0;1,7;0;1,7;0;1,7;0;1,7;0;1,7;0
1,8;1;1,8;0;1,8;0;1,8;0;1,8;2;1,8;0;1,8;0;1,8;0;1,8;0;1,8;0;1,8;0;1,8;0
1,9;0;1,9;0;1,9;0;1,9;1;1,9;4;1,9;5;1,9;2;1,9;0;1,9;0;1,9;2;1,9;0;1,9;3
2;0;2;0;2;0;2;6;2;7;2;8;2;0;2;0;2;0;2;1;2;0;2;0
2,1;4;2,1;0;2,1;10;2,1;4;2,1;14;2,1;6;2,1;4;2,1;1;2,1;0;2,1;0;2,1;0;2,1;4
2,2;9;2,2;1;2,2;5;2,2;10;2,2;20;2,2;14;2,2;5;2,2;3;2,2;0;2,2;6;2,2;1;2,2;10
2,3;12;2,3;3;2,3;7;2,3;22;2,3;29;2,3;27;2,3;11;2,3;8;2,3;0;2,3;9;2,3;1;2,3;13
2,4;22;2,4;7;2,4;29;2,4;35;2,4;34;2,4;41;2,4;17;2,4;14;2,4;1;2,4;9;2,4;3;2,4;26
2,4;47;2,4;12;2,4;40;2,4;42;2,4;76;2,4;58;2,4;24;2,4;15;2,4;8;2,4;25;2,4;1;2,4;33
2,5;53;2,5;17;2,5;55;2,5;71;2,5;92;2,5;91;2,5;38;2,5;30;2,5;6;2,5;23;2,5;0;2,5;45
2,6;78;2,6;26;2,6;63;2,6;87;2,6;97;2,6;104;2,6;56;2,6;44;2,6;14;2,6;31;2,6;6;2,6;69
2,7;117;2,7;42;2,7;89;2,7;118;2,7;107;2,7;138;2,7;74;2,7;60;2,7;14;2,7;54;2,7;10;2,7;94
2,8;120;2,8;52;2,8;101;2,8;153;2,8;199;2,8;164;2,8;88;2,8;55;2,8;23;2,8;67;2,8;9;2,8;131
2,9;193;2,9;77;2,9;157;2,9;167;2,9;172;2,9;195;2,9;90;2,9;58;2,9;21;2,9;77;2,9;12;2,9;147
3;186;3;103;3;151;3;193;3;211;3;194;3;97;3;59;3;26;3;90;3;17;3;167
3;194;3;89;3;190;3;210;3;228;3;235;3;116;3;56;3;59;3;107;3;19;3;224
3,1;226;3,1;111;3,1;218;3,1;192;3,1;214;3,1;218;3,1;93;3,1;81;3,1;71;3,1;126;3,1;25;3,1;206
3,2;236;3,2;151;3,2;242;3,2;203;3,2;242;3,2;248;3,2;116;3,2;108;3,2;67;3,2;120;3,2;24;3,2;223
3,3;218;3,3;112;3,3;225;3,3;233;3,3;253;3,3;252;3,3;136;3,3;78;3,3;96;3,3;128;3,3;31;3,3;212
3,4;233;3,4;134;3,4;241;3,4;242;3,4;250;3,4;219;3,4;119;3,4;92;3,4;98;3,4;122;3,4;24;3,4;226
3,5;260;3,5;133;3,5;223;3,5;211;3,5;267;3,5;246;3,5;108;3,5;79;3,5;125;3,5;154;3,5;31;3,5;230
3,6;274;3,6;129;3,6;262;3,6;262;3,6;280;3,6;251;3,6;124;3,6;73;3,6;90;3,6;136;3,6;27;3,6;228
3,6;282;3,6;125;3,6;237;3,6;263;3,6;259;3,6;236;3,6;114;3,6;95;3,6;100;3,6;140;3,6;35;3,6;269
3,7;261;3,7;110;3,7;256;3,7;253;3,7;237;3,7;243;3,7;126;3,7;83;3,7;73;3,7;144;3,7;30;3,7;240
3,8;254;3,8;118;3,8;251;3,8;254;3,8;253;3,8;255;3,8;116;3,8;71;3,8;68;3,8;129;3,8;29;3,8;265
3,9;285;3,9;132;3,9;285;3,9;301;3,9;240;3,9;238;3,9;113;3,9;66;3,9;62;3,9;143;3,9;20;3,9;217
4;284;4;129;4;308;4;285;4;265;4;266;4;117;4;88;4;42;4;167;4;35;4;306
4,1;313;4,1;187;4,1;315;4,1;296;4,1;282;4,1;264;4,1;124;4,1;86;4,1;24;4,1;153;4,1;38;4,1;325
4,2;275;4,2;340;4,2;285;4,2;342;4,2;346;4,2;258;4,2;116;4,2;78;4,2;29;4,2;169;4,2;37;4,2;323
4,2;323;4,2;724;4,2;322;4,2;328;4,2;309;4,2;277;4,2;124;4,2;79;4,2;16;4,2;165;4,2;39;4,2;314
4,3;317;4,3;1355;4,3;307;4,3;329;4,3;330;4,3;278;4,3;111;4,3;73;4,3;28;4,3;165;4,3;39;4,3;322
4,4;352;4,4;2433;4,4;362;4,4;303;4,4;321;4,4;308;4,4;122;4,4;82;4,4;26;4,4;189;4,4;31;4,4;338
4,5;359;4,5;3446;4,5;355;4,5;341;4,5;364;4,5;316;4,5;122;4,5;69;4,5;24;4,5;201;4,5;29;4,5;348
4,6;350;4,6;4193;4,6;405;4,6;400;4,6;356;4,6;333;4,6;116;4,6;82;4,6;20;4,6;199;4,6;34;4,6;387
4,7;380;4,7;4557;4,7;433;4,7;358;4,7;364;4,7;344;4,7;105;4,7;79;4,7;18;4,7;190;4,7;33;4,7;376
4,8;400;4,8;4316;4,8;412;4,8;362;4,8;372;4,8;334;4,8;122;4,8;75;4,8;14;4,8;219;4,8;39;4,8;390
4,8;388;4,8;3922;4,8;421;4,8;366;4,8;345;4,8;363;4,8;132;4,8;70;4,8;30;4,8;234;4,8;33;4,8;394
4,9;331;4,9;3234;4,9;363;4,9;352;4,9;351;4,9;363;4,9;121;4,9;65;4,9;23;4,9;215;4,9;68;4,9;402
5;421;5;2484;5;379;5;394;5;395;5;322;5;105;5;78;5;23;5;214;5;107;5;388
5,1;370;5,1;1895;5,1;403;5,1;354;5,1;402;5,1;362;5,1;106;5,1;74;5,1;25;5,1;221;5,1;197;5,1;367
5,2;360;5,2;1264;5,2;405;5,2;425;5,2;422;5,2;357;5,2;117;5,2;82;5,2;17;5,2;222;5,2;341;5,2;385
5,3;388;5,3;842;5,3;388;5,3;428;5,3;382;5,3;405;5,3;116;5,3;80;5,3;18;5,3;200;5,3;547;5,3;389
5,4;376;5,4;512;5,4;393;5,4;424;5,4;401;5,4;350;5,4;106;5,4;94;5,4;18;5,4;230;5,4;850;5,4;384
5,5;383;5,5;295;5,5;399;5,5;437;5,5;358;5,5;395;5,5;126;5,5;91;5,5;35;5,5;255;5,5;1008;5,5;405
5,5;394;5,5;175;5,5;480;5,5;488;5,5;447;5,5;412;5,5;120;5,5;93;5,5;23;5,5;280;5,5;1096;5,5;439
5,6;473;5,6;87;5,6;488;5,6;459;5,6;446;5,6;417;5,6;111;5,6;81;5,6;29;5,6;267;5,6;1029;5,6;480
5,7;612;5,7;35;5,7;645;5,7;512;5,7;426;5,7;370;5,7;117;5,7;55;5,7;22;5,7;348;5,7;943;5,7;636
5,8;995;5,8;17;5,8;1082;5,8;495;5,8;450;5,8;416;5,8;122;5,8;82;5,8;19;5,8;403;5,8;761;5,8;1017
5,9;1736;5,9;13;5,9;2008;5,9;505;5,9;462;5,9;420;5,9;142;5,9;76;5,9;19;5,9;618;5,9;622;5,9;1771
6;3206;6;10;6;3582;6;503;6;497;6;423;6;132;6;87;6;24;6;896;6;496;6;3359
6,1;5291;6,1;6;6,1;6371;6,1;474;6,1;496;6,1;437;6,1;124;6,1;79;6,1;29;6,1;1512;6,1;428;6,1;5734
6,1;8024;6,1;7;6,1;9928;6,1;481;6,1;509;6,1;445;6,1;140;6,1;75;6,1;20;6,1;2247;6,1;381;6,1;8848
6,2;10342;6,2;11;6,2;13300;6,2;518;6,2;496;6,2;436;6,2;149;6,2;91;6,2;20;6,2;2887;6,2;349;6,2;12116
6,3;12018;6,3;8;6,3;15831;6,3;532;6,3;492;6,3;429;6,3;147;6,3;104;6,3;29;6,3;3601;6,3;358;6,3;15011
6,4;12131;6,4;16;6,4;16534;6,4;493;6,4;523;6,4;440;6,4;149;6,4;98;6,4;40;6,4;3779;6,4;365;6,4;15869
6,5;11483;6,5;17;6,5;15940;6,5;560;6,5;444;6,5;471;6,5;152;6,5;102;6,5;34;6,5;3737;6,5;361;6,5;15722
6,6;10117;6,6;16;6,6;14032;6,6;568;6,6;552;6,6;508;6,6;150;6,6;88;6,6;29;6,6;3467;6,6;318;6,6;14268
6,7;8569;6,7;10;6,7;11679;6,7;739;6,7;523;6,7;514;6,7;186;6,7;96;6,7;29;6,7;2957;6,7;298;6,7;12145
6,7;6913;6,7;13;6,7;9308;6,7;1112;6,7;500;6,7;499;6,7;133;6,7;109;6,7;23;6,7;2542;6,7;232;6,7;9989
6,8;5644;6,8;23;6,8;7444;6,8;1897;6,8;472;6,8;518;6,8;136;6,8;84;6,8;35;6,8;2342;6,8;194;6,8;7939
6,9;4578;6,9;18;6,9;5869;6,9;3566;6,9;531;6,9;538;6,9;160;6,9;109;6,9;33;6,9;2381;6,9;150;6,9;6427
7;3700;7;19;7;4748;7;6045;7;575;7;549;7;156;7;89;7;33;7;2752;7;131;7;4834
